mode,episode,success,rounds,total_commands,wait_commands,wait_rate,skill_errors,transport_no_item,transport_no_item_wait,intent_total,intent_errors,intent_accuracy
full,1,1,27,81,17,0.20987654320987653,0,0,0,81,0,1.0
full,2,1,26,78,11,0.14102564102564102,0,0,0,78,0,1.0
full,3,1,27,81,13,0.16049382716049382,0,1,0,81,1,0.9876543209876543
full,4,1,26,78,11,0.14102564102564102,0,0,0,78,0,1.0
full,5,1,27,81,16,0.19753086419753085,0,0,0,81,0,1.0
full,6,1,31,93,16,0.17204301075268819,0,3,0,93,3,0.967741935483871
full,7,1,27,81,16,0.19753086419753085,0,0,0,81,0,1.0
full,8,1,27,81,16,0.19753086419753085,0,0,0,81,0,1.0
full,9,1,32,96,10,0.10416666666666667,0,1,0,96,1,0.9895833333333334
full,10,1,27,81,16,0.19753086419753085,0,0,0,81,0,1.0
full,11,1,31,93,14,0.15053763440860216,0,1,0,93,1,0.989247311827957
full,12,1,27,81,16,0.19753086419753085,0,0,0,81,0,1.0
full,13,1,27,81,17,0.20987654320987653,0,0,0,81,0,1.0
full,14,1,27,81,16,0.19753086419753085,0,0,0,81,0,1.0
full,15,1,26,78,12,0.15384615384615385,0,1,0,78,1,0.9871794871794872
full,16,1,27,81,17,0.20987654320987653,0,0,0,81,0,1.0
full,17,1,26,78,11,0.14102564102564102,0,0,0,78,0,1.0
full,18,1,31,93,12,0.12903225806451613,0,3,0,93,3,0.967741935483871
full,19,1,27,81,16,0.19753086419753085,0,0,0,81,0,1.0
full,20,1,27,81,17,0.20987654320987653,0,0,0,81,0,1.0
no-blackboard,1,1,51,153,23,0.1503267973856209,0,0,0,153,0,1.0
no-blackboard,2,1,54,162,21,0.12962962962962962,0,0,0,162,0,1.0
no-blackboard,3,1,49,147,24,0.16326530612244897,0,0,0,147,0,1.0
no-blackboard,4,1,57,171,21,0.12280701754385964,0,0,0,171,0,1.0
no-blackboard,5,1,46,138,18,0.13043478260869565,1,0,0,138,1,0.9927536231884058
no-blackboard,6,1,57,171,20,0.11695906432748537,0,0,0,171,0,1.0
no-blackboard,7,1,58,174,25,0.14367816091954022,0,0,0,174,0,1.0
no-blackboard,8,1,43,129,15,0.11627906976744186,0,0,0,129,0,1.0
no-blackboard,9,1,41,123,15,0.12195121951219512,1,0,0,123,1,0.991869918699187
no-blackboard,10,1,45,135,23,0.17037037037037037,0,0,0,135,0,1.0
no-blackboard,11,1,44,132,16,0.12121212121212122,0,0,0,132,0,1.0
no-blackboard,12,1,52,156,29,0.1858974358974359,2,0,0,156,2,0.9871794871794872
no-blackboard,13,1,48,144,23,0.1597222222222222,0,0,0,144,0,1.0
no-blackboard,14,1,47,141,23,0.16312056737588654,0,0,0,141,0,1.0
no-blackboard,15,1,48,144,18,0.125,0,0,0,144,0,1.0
no-blackboard,16,1,45,135,19,0.14074074074074075,1,0,0,135,1,0.9925925925925926
no-blackboard,17,1,50,150,17,0.11333333333333333,0,0,0,150,0,1.0
no-blackboard,18,1,53,159,26,0.16352201257861634,1,0,0,159,1,0.9937106918238994
no-blackboard,19,1,45,135,25,0.18518518518518517,0,0,0,135,0,1.0
no-blackboard,20,1,50,150,23,0.15333333333333332,1,0,0,150,1,0.9933333333333333
